id,title,company,location,category,job_type,publication_date,salary,url,source
arbeitnow_bauingenieur-fur-hydraulische-kanalnetzberechnung-traunreut-35750,Bauingenieur für hydraulische Kanalnetzberechnung (m/w/d),PolyTALENT GmbH,Traunreut,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/polytalent-gmbh/bauingenieur-fur-hydraulische-kanalnetzberechnung-traunreut-35750,Arbeitnow
arbeitnow_mitarbeiter-schwerpunkt-berichtskritik-munich-209689,Mitarbeiter (m/w/d) Schwerpunkt Berichtskritik,Genossenschaftsverband Bayern e.V.,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/genossenschaftsverband-bayern-ev/mitarbeiter-schwerpunkt-berichtskritik-munich-209689,Arbeitnow
arbeitnow_it-desktop-support-hamburg-164809,IT Desktop Support (m/w/d),hubside - Die Recruitingwerkstatt,Hamburg,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/hubside-die-recruitingwerkstatt/it-desktop-support-hamburg-164809,Arbeitnow
arbeitnow_python-software-engineer-machine-learning-systems-frankenthal-183273,Python Software Engineer - Machine Learning Systems (m/f/d),CUJU,Frankenthal,Technology,Remote,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/cuju/python-software-engineer-machine-learning-systems-frankenthal-183273,Arbeitnow
arbeitnow_senior-product-manager-munich-109008,Senior Product Manager (m/w/d),Skalar,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/skalar/senior-product-manager-munich-109008,Arbeitnow
arbeitnow_head-of-product-munich-111084,Head of Product (w/m/d),Skalar,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/skalar/head-of-product-munich-111084,Arbeitnow
arbeitnow_risk-controlling-specialist-frankfurt-am-main-431818,Risk Controlling Specialist (w/m/d),Honda Bank GmbH,Frankfurt am Main,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/honda-bank-gmbh/risk-controlling-specialist-frankfurt-am-main-431818,Arbeitnow
arbeitnow_bau-mit-uns-die-logopadie-von-morgen-werde-head-of-operations-bei-eloquendo-munich-218150,Bau mit uns die Logopädie von morgen: Werde Head of Operations (m/w/d) bei Eloquendo,Eloquendo GmbH,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/eloquendo-gmbh/bau-mit-uns-die-logopadie-von-morgen-werde-head-of-operations-bei-eloquendo-munich-218150,Arbeitnow
arbeitnow_technischer-arbeitsvorbereiter-kalkulator-hamm-200851,Technischer Arbeitsvorbereiter / Kalkulator (m/w/d),BC Deutschland GmbH,Hamm,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/bc-deutschland-gmbh/technischer-arbeitsvorbereiter-kalkulator-hamm-200851,Arbeitnow
arbeitnow_softwareingenieur-softwareentwickler-fur-wissenschaftliche-software-berlin-472923,Softwareingenieur/ Softwareentwickler für wissenschaftliche Software (m/w/d),PicoQuant GmbH,Berlin,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/picoquant-gmbh/softwareingenieur-softwareentwickler-fur-wissenschaftliche-software-berlin-472923,Arbeitnow
